feature,importance
num__FLAG_DOCUMENT_14,6e-05
cat__ORGANIZATION_TYPE_Industry: type 2,6e-05
cat__ORGANIZATION_TYPE_Emergency,5e-05
cat__ORGANIZATION_TYPE_Insurance,5e-05
cat__ORGANIZATION_TYPE_Advertising,5e-05
num__FLAG_CONT_MOBILE,5e-05
cat__WALLSMATERIAL_MODE_Monolithic,5e-05
cat__ORGANIZATION_TYPE_Trade: type 6,5e-05
cat__ORGANIZATION_TYPE_Legal Services,4e-05
cat__ORGANIZATION_TYPE_Mobile,4e-05
num__FLAG_DOCUMENT_13,4e-05
cat__OCCUPATION_TYPE_HR staff,4e-05
cat__ORGANIZATION_TYPE_Cleaning,4e-05
cat__ORGANIZATION_TYPE_Culture,4e-05
cat__ORGANIZATION_TYPE_Industry: type 12,3e-05
cat__OCCUPATION_TYPE_IT staff,3e-05
cat__NAME_TYPE_SUITE_Group of people,3e-05
cat__ORGANIZATION_TYPE_Transport: type 1,2e-05
num__FLAG_DOCUMENT_19,2e-05
num__FLAG_DOCUMENT_15,2e-05
cat__ORGANIZATION_TYPE_Industry: type 10,1e-05
num__FLAG_DOCUMENT_21,1e-05
cat__ORGANIZATION_TYPE_Industry: type 13,1e-05
num__FLAG_DOCUMENT_2,1e-05
num__FLAG_DOCUMENT_7,1e-05
num__FLAG_DOCUMENT_20,1e-05
cat__ORGANIZATION_TYPE_Trade: type 4,1e-05
cat__ORGANIZATION_TYPE_Industry: type 6,1e-05
cat__ORGANIZATION_TYPE_Religion,1e-05
cat__NAME_EDUCATION_TYPE_Academic degree,1e-05
num__FLAG_DOCUMENT_17,1e-05
cat__NAME_INCOME_TYPE_Unemployed,1e-05
cat__ORGANIZATION_TYPE_Trade: type 5,0.0
cat__ORGANIZATION_TYPE_Industry: type 8,0.0
cat__NAME_INCOME_TYPE_Student,0.0
num__FLAG_DOCUMENT_4,0.0
num__FLAG_DOCUMENT_10,0.0
cat__NAME_INCOME_TYPE_Maternity leave,0.0
cat__NAME_INCOME_TYPE_Businessman,0.0
num__FLAG_MOBIL,0.0
num__FLAG_DOCUMENT_12,0.0
cat__NAME_FAMILY_STATUS_Unknown,0.0
